,Logo,Nombre,Símbolo,Actual Pric.,AVG Price,Higest 1H,Lower 1H,Signal(B|S)
0,https://cdn.investing.com/crypto-logos/20x20/v2/bitcoin.png,Bitcoin,BTC,94830.7,94830.69999999998,94830.7,94830.7,B
1,https://cdn.investing.com/crypto-logos/20x20/v2/ethereum.png,Ethereum,ETH,3085.82,3083.9300000000003,3085.82,3072.59,S
2,https://cdn.investing.com/crypto-logos/20x20/v2/tether.png,Tether USDt,USDT,1.0007,1.0007,1.0007,1.0007,Sin Cambios
3,https://cdn.investing.com/crypto-logos/20x20/v2/solana.png,Solana,SOL,237.344,237.22257142857146,237.344,236.494,S
4,https://cdn.investing.com/crypto-logos/20x20/v2/bnb.png,BNB,BNB,607.45,607.4499999999999,607.45,607.45,S
5,https://cdn.investing.com/crypto-logos/20x20/v2/xrp.png,XRP,XRP,1.1145,1.1216428571428574,1.1247,1.1145,S
6,https://cdn.investing.com/crypto-logos/20x20/v2/dogecoin.png,Dogecoin,DOGE,0.381417,0.38127814285714284,0.381417,0.380445,S
7,https://cdn.investing.com/crypto-logos/20x20/v2/usd-coin.png,USDC,USDC,0.9991,0.9991000000000001,0.9991,0.9991,Sin Cambios
8,https://cdn.investing.com/crypto-logos/20x20/v2/cardano.png,Cardano,ADA,0.796,0.7954857142857145,0.796,0.7924,S
9,https://cdn.investing.com/crypto-logos/20x20/v2/tron.png,TRON,TRX,0.196505,0.19643799999999997,0.196505,0.196036,S
